日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2019-11-14,,,,,,,142.4,143.18,143.42,142.07,-0.7,
2019-11-15,,,,,,,143.37,142.51,143.59,142.51,0.97,
2019-11-18,,,,,,,143.91,143.47,144.07,143.47,0.54,
2019-11-19,,,,,,,143.78,143.88,144.18,143.53,-0.13,
2019-11-20,,,,,,,142.27,143.78,143.9,142.27,-1.51,
2019-11-21,,,,,,,143.07,142.15,143.07,141.41,0.8,
2019-11-22,,,,,,,143.57,143.1,144.06,143.1,0.5,
2019-11-25,,,,,,,143.9,143.69,144.32,143.69,0.33,
2019-11-26,,,,,,,144.97,143.99,145.16,143.99,1.07,
2019-11-27,,,,,,,145.44,145.03,145.66,145.03,0.47,
2019-11-28,,,,,,,145.61,145.61,146.06,145.59,0.17,
2019-11-29,,,,,,,144.43,145.76,146.13,144.26,-1.18,
2019-12-02,,,,,,,143.63,144.43,144.82,142.31,-0.8,
2019-12-03,,,,,,,144.13,143.53,144.2,143.11,0.5,
2019-12-04,,,,,,,144.47,144.19,144.84,143.99,0.34,
2019-12-05,,,,,,,146.11,144.85,146.23,144.85,1.64,
2019-12-06,,,,,,,146.42,146.17,146.93,146.08,0.31,
2019-12-09,,,,,,,146.62,146.6,147.12,146.56,0.2,
2019-12-10,,,,,,,146.59,146.54,146.96,146.41,-0.03,
2019-12-11,,,,,,,146.78,146.58,146.91,146.56,0.19,
2019-12-12,,,,,,,146.98,146.94,147.6,146.94,0.2,
2019-12-13,,,,,,,146.25,147.16,148.04,146.1,-0.73,
2019-12-16,,,,,,,147.22,146.27,147.24,146.27,0.97,
2019-12-17,,,,,,,147.79,147.32,148.0,147.32,0.57,
2019-12-18,,,,,,,147.56,147.85,148.39,147.54,-0.23,
2019-12-19,,,,,,,147.07,147.63,148.05,147.07,-0.49,
2019-12-20,,,,,,,146.92,147.17,147.67,146.85,-0.15,
2019-12-23,,,,,,,147.05,147.06,147.65,146.94,0.13,
2019-12-24,,,,,,,147.38,147.15,147.56,147.15,0.33,
2019-12-25,,,,,,,148.46,147.44,148.61,147.44,1.08,
2019-12-26,,,,,,,148.75,148.54,149.07,148.51,0.29,
2019-12-27,,,,,,,149.24,148.9,149.68,148.9,0.49,
2019-12-30,,,,,,,149.33,149.38,149.87,149.27,0.09,
2019-12-31,,,,,,,149.36,149.29,149.72,149.16,0.03,
